序号,诉求内容
14014,  市民反映五孔桥河铺设塑胶跑道问题   来源：北京通   市民诉求点：五孔桥河铺设塑胶跑道   市民原文：海淀区五孔桥那条河往上两侧应该修一修，铺上塑胶跑道，让人们在河两边散散步，现在环境太差，和外地环境相比差多了   市民反映问题内容：市民反映，海淀区田村路街道五孔桥那条河往上，两侧应该修一修，铺上塑胶跑道，让人们在河两边散散步，现在环境太差，和外地环境相比差多了故通过北京通反映五孔桥河铺设塑胶跑道的问题。注：此问题经市中心与海淀区核实，海淀区回复：水务局 进行了调查，并答复如下：经核实永定河引水渠权属于市河湖管理处管辖。请转市河湖管理处调查处理。   注：北京通工单处理结果将通过北京通回复市民。   北京通发布时间：2020-04-10 13:45
454, 工单来源：北京通，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：长期堆放垃圾，绿地不做维护留言原文：1，朝阳区紫御华府西北角，清河东岸滨河路拐弯处，垃圾堆放得不到及时的清运处理，2，且周边绿化得不到维护，光秃影响市容市貌3，请相关部门督促监督管理，维护市容市貌，加强绿化美化-------------------------------------------------------------工单流转：【朝阳区奥运村街道】诉求人反映长期堆放垃圾，绿地不做维护问题，申请转出：奥运村城管办于5月4日早上到现场核实垃圾和图斑情况，根据现场核实该位置堆放的绿化垃圾及绿地图斑为北京清河管理处管辖。（附件1现场核实照片）已和北京清河管理处工作人员现场核实，属于清河管理处范围，其上级部门为北京市水务局。且根据《北京市城市绿化条例》第四十条管护单位应当按照国家和本市绿地、树木养护规范对绿地、树木进行管护并做好防火工作。已和北京清河管理处张晨联系同意接受案件。（附件2与清河管理处工作人员沟通录音第3分钟同意接收，附件3与北京市水务局工作人员沟通录音第1分30秒同意接收）此案件申请转北京市水务局进行处理。
277, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= ==============留言标题：大树妨碍视线留言原文：怀昌路，过了茶坞铁路桥有个小路口，从那往出拐根本看不清过往车辆，太危险了，希望有关部门申请解决--------------------------------------------------工单流转：【怀柔区】经与市民本人核实，市民反映点位为顺义寺上至怀昌路道路路口，经工作人员到现场查看，道路为怀寺路，市民反映此路口所在的怀昌路（京密引水渠）路西树木遮挡视线，因京密引水管理处为市水务局直属部门，请转该段树木管理部门京密引水管理处处理。
415, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：环境保护留言原文：这几年北京市内各水域里的鱼越来越少了，其原因就是河道管理每年打水里面的水草，而且是采取剃头的形式。春天水面的温度高，鱼都把籽下到了草尖上，他们每隔一段时间就把水草的尖部打掉，也就把鱼籽打走了。远的不说，就说近郊区的河，谁打过水草？而且他们打水草不是一下打到底，这样一下打完了就不能骗政府的钱了。说是水草污染环境，其实最污染环境的恰恰是水务，每天动物园里的快艇一辆接一辆，五块钱转一圈的成本，每人收三十元，弄的河水混的不行。希望有关领导关心一下，确实把环境保护做到了位，而不是打着环保的晃子骗国家，骗政府，骗纳税人的钱。--------------------------------------------------工单流转【海淀区】：您好，关于您反映问题的办理情况，水务局回复如下：水务局：于2023年5月6日12点53分接到市12345转派网络-230506-024189号工单。经海淀区水务局调查核实：反映人反映的河道里清理水草问题，河道为转河，转河权属于北京市水务局城市河湖管理处。转河内清理水草等保洁权属于北京市水务局城市河湖管理处管辖维护。经确认此工单已超出海淀区受理范围，该情况已与诉求人进行电话沟通，并告知以上情况，同时建议其向北京市水务局城市河湖管理处进行反馈
765, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：建议留言原文：有三四个中年男子在河里游泳，属不文明行为。建议玉渊潭公园派人员值岗劝诫一下此行为，同时出台相关法规。--------------------------------------------------工单流转【北京市公园管理中心】：经核实，竹女士反映是八一湖河道内游泳人员问题，其位置位于玉渊潭公园南部边界外的永定河引水渠八一湖河道内，该区域位于玉渊潭公园南墙以外，非玉渊潭公园管辖权属。根据《北京市接诉即办工作条例》第十二条：“市民热线服务工作机构应当按照以下流程派单：对权责明确、管辖清晰的，直接派单至承办单位；无法直接派单至具体承办单位，但能够确定诉求所属行政区域的，派单至区人民政府协调办理。综上，建议此单转北京市城市河湖管理处办理。
579, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：立水桥公园东区清河沿岸钓鱼造成休闲风险留言原文：立水桥公园东区、来广营地区滨河公园，这附近清河沿岸，每隔几米就有钓鱼的爱好者，尤其是北岸，钓鱼者往后甩鱼竿，也不会看后面的人，金属钩子和鱼线特别容易甩到岸边散步休闲的居民和两岸玩耍的孩子，存在很大的安全隐患。建议相关部门管理一下，安全第一，规划专门的钓鱼休闲区域或者禁止在此钓鱼。--------------------------------------------------工单流转【昌平区】：关于市民反映的立水桥公园东区清河沿岸垂钓问题，经区园林绿化局工作人员核实，市民反映的位置为北京市水务局下属清河管理处温榆河管理所管理，经我局专班工作人员与清河管理处温榆河管理所张博科长沟通同意接收此件，建议转至北京市水务局清河管理处温榆河管理所。
688, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：凉水河捕捞水草，破坏生态环境留言原文：现在正值鱼的甩籽繁殖季节，但是凉水河南姚园到马营桥河段上有人划船捞水草，而鱼类都在水草上产卵，这样做破坏了鱼类产卵繁殖，也就是破坏了凉水河的生态环境。你可以捞水草，但是不要在现在这个鱼类繁殖季节捞，夏天或者秋天再捞！再说水草也是净化水的植物，没有发生水草富营养疯狂增长，暂时没有打捞的必要。
672, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：请关注昆玉河长春桥段是否存在污染排放留言原文：请关注昆玉河长春桥段是否存在污染排放
645, 工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 ============================= 留言标题：投诉北京水务局北运河管理处不作为留言原文：许各庄水闸放水，导致水位上涨，水面垃圾，树木花草被淹，污染环境污染水源，破坏生态环境，这是第三次向贵平台投诉前两次投诉无果至今没人管理
1216, 工单来源：微信服务号，此工单内容为网民原文。============================= 中信新城东侧有片绿地，杂草丛生，希望清理一下--------------------------------------------------工单流转：【大兴区】经核实，市民反映的位置位于凉水河内部，凉水河内绿植由凉水河公园管理处负责管护。
6145, 工单来源：微信服务号，此工单内容为网民原文。=============================昆玉河挨着西钓鱼台嘉园的灯塔护栏角落，有条狗的尸体，请有关部门打捞--------------------------------------------------工单流转：【海淀区甘家口街道】经核实，市民所反映位置为西钓嘉园小区南侧的灯塔位置河路有动物尸体问题。河道日常清理工作为北京市河湖管理处负责。请转北京市水务局协调北京市河湖管理处协调处理
3301, 工单来源：微信服务号，此工单内容为网民原文。=============================凉水河（新开渠）莲玉桥东水域今日（2022年6月12日）为何巨臭，水面漂浮各种垃圾
7141, 市民反映，石景山区永定河饮水渠模式口桥到刘娘府桥到西王孙（音译）桥，河里面鱼已经漂起来，可能被人下药，有人捞鱼，来电反映河里面鱼已经漂起来。注：来电人信息保密（已解释保密协议）工单流转；退回，回退：市中心12345：您好，我中心经与区城管委核实，意见：来电人反映点位为市河湖管理处管理点位，请转市河湖管理处办理。市河湖管理处联系人王莹同意接件联系电话：88821957
11757," 市民反映，通州区马驹桥镇富力上悦居，现在凉水河环境挺好，但是自己遛弯发现有野草割了之后都堆在河岸步行道上，希望清理，来电反映清理野草问题注：请及时向反映人反馈办理情况。工单流转：退回：马驹桥镇:针对此问题,经通州区马驹桥镇政府核实,市民主要诉求点为清理野草问题,非马驹桥镇养护范围,烦请转派至凉水河管理处协调处理。"
7969, 市民反映，现在（2021年7月29日21:16分）在东城区安定门桥西侧100米处，安定门西滨河路对岸，有污水排放的情况，河水里还有白沫，还散发出了臭味，市民希望核实处理。来电反映污水随意排放问题。注：请及时向来电人反馈办理情况。工单流转：退回：意见：根据张先生反映的问题，2021年7月31日，东城区城管委安排水务管理科进行办理， 经核实，此问题应属于排水集团管辖，建议转北京市排水集团核实处理。工单流转：2021年8月1日14时，排水集团工作人员电话联系庄先生，电话为13521557779。了解具体诉求为：污水随意排放问题。我单位办理情况为：经核实，非排水集团运营范围，我单位权属排河口设施运行正常无排污痕迹，且未有随意排放现象，因非我单位设施导致，故无法协调处理，已回复反映人，建议市中心转派转至河道进行核查处置。
4178, 市民反映，自己发现朝阳区云南大厦对面河道的垃圾没有人清理，希望帮助联系一下协调清理一下垃圾，来电反映协调清理垃圾问题。注：请及时向来电人反馈办理情况。注：工单流转：退回：您好，经核实，市民反映的位置为北土城沟，属市管河道，非街乡权属，请将案件派单至北京市河湖管理处协调处理，谢谢
12872, 市民反映永定河引水渠西三环桥下河段（玉渊潭西南门附近）污染严重    用户名：guest    留言标题：永定河引水渠西三环段污染严重    门户网站市民原文：永定河引水渠西三环桥下河段（玉渊潭西南门附近）污染严重，各种垃圾漂浮物，水发绿发臭，杂草丛生，貌似已经很长时间没人管理了。这与北京首都的形象严重不符，路过人员都议论纷纷，建议相关部门按照绿水青山的相关指示精神尽快了解、落实整治！ 附上几张现场实拍图（拍摄于2020年7月13日），就知道有多脏乱了。    信件编码：AH2007140051401    写信时间：2020-7-14注：此单为市政府门户网站互动交流平台简易工单，内容为网民原文。工单来源：市政府门户网站互动交流平台
13979, 市民反映永定河右堤路常年有社会车辆违反通行问题    用户名：guest    市民原文：根据北京市人民政府公告，永定河右堤路严禁社会车辆过往，目前社会车辆特别多，严重影响防汛等车辆通行。道路较窄，不适合普通社会车辆通行，希望永定河管理处及属地单位在门岗处严格查看通行证，无证车辆严禁通行。依据北京市水务局、北京市公安局（二〇〇五年第1号）文件规定，永定河右堤（含中堤）堤顶路禁止机动车通行。右堤路西侧有周口店路可以通行，可引导社会车辆绕行。    市民反映问题内容：市民反映，根据北京市人民政府公告，永定河右堤路严禁社会车辆过往，目前社会车辆特别多，严重影响防汛等车辆通行。道路较窄，不适合普通社会车辆通行。依据北京市水务局、北京市公安局（二〇〇五年第1号）文件规定，永定河右堤（含中堤）堤顶路禁止机动车通行。右堤路西侧有周口店路可以通行，可引导社会车辆绕行。希望永定河管理处及属地单位在门岗处严格查看通行证，无证车辆严禁通行。通过留言反映永定河右堤路常年有社会车辆违反通行问题。    信件编码：AH2004130022401    写信时间：2020-4-13注：原工单见网络-200507-025084，分中心工作人员来电表示，回复有误，希望尽快退回。因系统原因无法退回，故新建工单处理。
7343, 紫竹园、八一湖至颐和园的河道窄、浅，机动游船经过时，会泛起长长的黄褐色水浪，影响美观、污染水质、冲击岸堤，为此，建议尽快停止此项服务。
3668,#北京环境保护#定位南岸一号北边通惠河段，河面有明显的垃圾浮沫刺鼻的臭味，希望相关部门能管管~~~~~京环之声 ~~~~~北京日报 ~~~~~北京头条 https://weibo.com/5703705603/LzVo2zrdD
7995,。=========================================注：此单为市政府门户网站互动交流平台简易工单，内容为网民原文。工单来源：市政府门户网站互动交流平台注市民主要诉求是：北京市朝阳区小红门地区铁路下臭水沟臭气熏天能治理下吗
6330,"~~~~~kingbo北京话：~~~~~北京12345 今天是阴天，不是太阳照的，刚刚去这里，顺义段潮白河彩虹桥下面的河水，怎么两种颜色，咨询为什么？~~~~~千龙网中国首都网 ~~~~~中国政府网 北京·潮白河 kingbo北京话的微博视频（转发0 评论3）
https://weibo.com/1230601965/L3JHCf5Vj"
3413,~~~~~Melody？事关北京人民饮用水安全，请交北京市水务局严肃处理！事关北京人民饮用水安全，请交北京市水务局严肃处理！事关北京人民饮用水安全，请交北京市水务局严肃处理！北京市南水北调水存在严重水华风险隐患，威胁群众饮水安全和长期健康，需尽快排除！原因如下：1、南水北调中线是当前北京市民最主要的饮用水来源，已占北京城市用水的70%以上。位于丰台区的大宁水库，是京内南水北调最重要的节点，该水库为露天水库，其水质易受空气中污染物质沉降影响。2、在我国太湖流域的实际监测发现大气氮素干湿沉降量已成为该地区水体氮负荷的重要来源。露天的大宁水库有巨大的气水接触面，周边空气中易溶于水的氮氧化合物会大量沉降于水中。3、文献研究表明，大气湿沉降促发的湖泊水体富营养化时，形成水华的主要藻类正是微囊藻。4、现有研究表明，自来水厂常规处理工艺对微囊藻代谢产生的微囊藻毒素去除能力有限，总去除率仅为30%，有70%仍存在于自来水中。5、水体中尤其是自来水中微囊藻毒素的慢性毒性危害不可忽略，其严重的肝脏毒性和致癌特性将严重威胁北京市民的身体健康。6、近期，丰台区计划在距离大宁水库不到4公里的地方建设超大型垃圾焚烧厂。日焚烧垃圾2550吨，规划通过烟筒每年向大气中排放氮氧污染物377.7吨，且污染物主要沉降范围就在排气筒周边5km范围内，大宁水库水面被完全涵盖，极易诱发大宁水库水华爆发，威胁北京市供水安全。为保护北京市供水安全，请北京市水务局尽快行动，消除南水北调水华风险隐患。
4000,~~~~~北京人捍卫北京城：自网友：这红领巾公园对面小河，原来清亮着呢，几天没来，污水井堵了，里边的污水全流进去了，又脏又臭！ http://weibo.com/2025231343/LwCYDnfp5
6322,"~~~~~北京人应该知道的北京事：自网友，北京市顺义区月牙河，不知道这种污水排放能不能通过月牙河的自净功能降低污染浓度？#北京身边事##环境保护# 青松Beijing的微博视频（转发0 评论0）
http://weibo.com/1876138275/L4nvbs4Bg"
13825,"~~~~~斗争愚蠢：#北京##生态环境##垃圾##看见##混合垃圾##建筑垃圾#
北京市昌平区阳坊镇八口村西北角河边，被村委会有组织违法倾倒垃圾数年，就是反应了~~~~~北京生态环境 ~~~~~北京发布 ~~~~~北京12345 几十次，有任何执法和改变吗？~~~~~水润京华 你们推的河长制是不是在这里不好使？村长就是河长，这不是开玩笑吗？~~~~~央视新闻 ~~~~~新京报 ~~~~~北京日报 ~~~~~生态环境部
https://weibo.com/2104174143/J3Apg2uw0?refer_flag=1001030103_&type=comment#_rnd1590407553765"
4427,"~~~~~关注环保12321：五一节前这里没有一点儿垃圾，现如今，五一节过后这里成堆的垃圾（温榆河昌平段郑各庄橡胶坝北岸）都是假期里来这里休闲的人们，以家庭为单位，全家老小在这里吃喝完后留下的。大人素质太低，无环保意识，没有给孩子树立好榜样，家长的行为濳移默化的影响着孩子，等孩子长大后也会学着家长的样子做乱丢垃圾。请到些处来过，并丢弃垃圾的人，看到了反思反思自己的行为，今后不再乱丢垃圾。
http://weibo.com/5328976792/LrGugugQy"
11532,"~~~~~弘文彰武：~~~~~北京城管 ~~~~~昌平城管 ~~~~~北京市政 立水桥北方明珠大厦对面，祥和珠宝古玩城楼下雨水井内经常有人倒泔水，雨水井内不能排放生活污水 弘文彰武的微博视频（转发0 评论0）
https://weibo.com/5124252377/JtiRydovy?from=page_1005055124252377_profile"
14341,"~~~~~华盛豪宸：清明时节春意烂漫，北京温榆河孙河大桥东段踏青的生态走廊的环境不容忽视！特别是破坏生态野钓和烧烤的！望有关部门重视！
https://weibo.com/5421578149/IBtwBgGhR?type=comment"
13891,"~~~~~会做签证的Jensen：今天午饭后来#北京市,朝阳区,通惠河北路#&nbsp;沿着通惠河遛弯儿，清澈见底的通惠河一夜之间变得臭气熏天满河道的生活垃圾。其实也大概可以想到昨天下午北京城的对流暴雨，可能会将垃圾冲进河道。
https://weibo.com/1827857853/J36pREOHG?type=comment
转发（0）  评论（0）"
14251,"~~~~~斯坦·吕：~~~~~北京市水务局建管处&#160;~~~~~门头沟水务局团支部&#160;~~~~~北京12345&#160;~~~~~京西门头沟&#160;永定河的门头沟区水闸公路桥下面的垃圾应该清理一下吧～ 
https://weibo.com/2190209033/IDfCNEqGb?refer_flag=1001030103_&type=comment#_rnd1586833609220
&#8203;转发（0）  评论（0）&#8203;&#8203;&#8203;"
12472,"~~~~~死月月鳥多：8月31日中午12:35左右，一帮人在朝阳区新东路，向亮马河中，不知是不是在放生田螺。如放生田螺对河道水质有影响么？亮马河刚刚清理完河道。
https://weibo.com/1778996905/JirKpk7Nk?type=comment"
14267,"~~~~~小妖学壁画：都是些什么人啊！！！一条臭水沟 治理好建设生态文明公园 这都来了些什么人#中国北京市大兴区# 北京·西红门星光生态文化休闲公园 小妖学壁画的微博视频（转发0 评论3）
https://weibo.com/5378809624/ICQ7Er5Er?from=page_1005055378809624_profile"
3682,~~~~~用户7767879522：北京市丰台区马家堡街道北甲地路下水道被周边饭馆天天往里倒污水，全是羊油，马家堡街道不但不管理也不组织人清理，就这么臭着，垃圾站门口就堆满垃圾。这是北京三环边上。http://weibo.com/7767879522/LztvCDIe0
13893,[cp]前一日游通州大运河，看到河面上漂浮着太多的水草，树枝，严重影响了河面的景观，这些漂浮的水草和树枝有的开始腐烂，在太阳的暴晒下开始发臭。而河面上只有不超过四只的漂浮物打捞船，而打捞船上只有2位农村妇女悠闲的用叉子从河里一叉子一叉子捞起水草。不可否认这些大姐顶着大太阳，闻着发臭的水也很是辛苦。但是不可否认的是就这几位大姐的劳动，对于通州大运河从北关闸到甘棠闸的水草漂浮物之多来讲，就是杯水车薪，起到的作用非常有限。现在通州清理地面的清扫车已经非常高大上了，而清理水面垃圾漂浮物还在采用四十五年前的落后方法，人工用叉子捞起水草。这等于环卫工人依然用扫把扫大马路，太落后和低效率了，希望有关部门可以参考附件中的文章，去设计制作高效的机械化的河道水草和树枝打捞船，用机械化的器械打捞起水草，提高河道清理能力，降低清理人员的劳动强度。让通州大运河水面恢复美丽的景观。http://t.cn/A6AXIRpr北京12345 ~~~~~北京生态环境 ~~~~~北运河管理处 ~~~~~通州区水务局 ~~~~~通州区政府[/cp]=========================================注：此单为微信服务号简易工单，内容为网民原文，市中心未做整理。工单来源：微信服务号
12711,1，因水库管理不到位，导致一些素质差的人员破坏水库栅栏，进入水库游泳。水库管理处对这些问题采取了管理措施。 因上述问题把水库管理处附近的临时停车区域全部用铁管封闭，不准游客停车，给广大的游客和休息爬山（管理处后山）??的人员带来极大的不便。 --见图12，我们不反对政府管理部门对在水??野游、水库垂钓加强管理，但也要考虑广大民众的休息日爬山临时停车需求。不要因噎废食，管理者要多站在民众角度进行施政！ 3，疫情，让中华民族遭受磨难，国家外受强势力挤压，政府应该聚民心，努力前行，少做一些不合民心的事情。 4，习总带领共产党给我们带来绿水青山，他也希望民众享受这美好的绿水青山，而不是让民众远看美丽的空中楼阁。 5、用封闭停车区域的费用，多维修一下爬山的小路。。。见图片 在?封闭临时停车区域??上，在和?多休息日爬山??者、旅?者交流中，我?到的都是??。作?一名??北京，??美?山河的人，真的希望我?的政府多听听民众的呼声！不要做失民心的事情！=========================================注：此单为市政府门户网站互动交流平台简易工单，内容为网民原文。工单来源：市政府门户网站互动交流平台
4667,"1.后海
2.永定河安家庄桥到中粮桥
3.永定河引水渠哪些区域"
14361,"103国道苏庄桥到石槽桥路段扬尘污染环境问题。市民反映，通州区漷县镇103国道苏庄桥到石槽桥路段，24小时不断过翻斗车、大车，这些车辆经过后导致尘土飞扬，非常污染环境，但是属地相关部门都不负责治理，来电希望相关部门能够尽快治理103国道苏庄桥到石槽桥路段扬尘问题。注：请及时向来电人反馈办理情况。注：区公路分局:经核实,该处系北运河综合治理工程在实施清淤,导致工程车往来频繁和扬尘,属于北京市水务局。请转市级水务部门。"
